iter	Passed	Remaining
676	30657	14626
677	30764	14610
678	30853	14586
679	30901	14542
680	30945	14495
681	30991	14450
682	31033	14403
683	31075	14356
684	31115	14308
685	31150	14258
686	31194	14212
687	31243	14168
688	31282	14120
689	31333	14077
690	31369	14027
691	31415	13982
692	31465	13939
693	31508	13892
694	31542	13842
695	31578	13792
696	31623	13747
697	31658	13697
698	31692	13647
699	31736	13601
700	31772	13552
701	31809	13503
702	31861	13460
703	31917	13419
704	31973	13378
705	32010	13330
706	32045	13280
707	32079	13230
708	32115	13181
709	32151	13132
710	32194	13086
711	32230	13037
712	32265	12987
713	32301	12938
714	32336	12889
715	32369	12839
716	32404	12789
717	32445	12743
718	32484	12695
719	32532	12651
720	32589	12611
721	32635	12565
722	32684	12522
723	32724	12475
724	32764	12427
725	32801	12379
726	32839	12331
727	32878	12284
728	32929	12241
729	32992	12202
730	33069	12169
731	33128	12128
732	33175	12084
733	33218	12038
734	33257	11990
735	33295	11942
736	33334	11895
737	33373	11847
738	33419	11803
739	33462	11757
740	33502	11709
741	33539	11662
742	33576	11613
743	33612	11565
744	33655	11519
745	33690	11471
746	33738	11426
747	33866	11409
748	33918	11366
749	33955	11318
750	33990	11269
751	34026	11221
752	34063	11173
753	34101	11126
754	34144	11080
755	34194	11036
756	34243	10992
757	34297	10949
758	34341	10904
759	34377	10855
760	34415	10808
761	34452	10760
762	34488	10712
763	34526	10665
764	34574	10621
765	34614	10574
766	34653	10527
767	34688	10478
768	34723	10430
769	34758	10382
770	34807	10338
771	34858	10294
772	34918	10254
773	34976	10212
774	35038	10172
775	35090	10129
776	35134	10083
777	35170	10035
778	35214	9990
779	35259	9944
780	35308	9900
781	35367	9859
782	35422	9816
783	35496	9779
784	35538	9733
785	35584	9688
786	35628	9642
787	35674	9597
788	35714	9551
789	35752	9503
790	35787	9455
791	35822	9407
792	35867	9362
793	35905	9315
794	35943	9268
795	35985	9222
796	36022	9175
797	36057	9127
798	36101	9081
799	36136	9034
800	36170	8986
801	36206	8938
802	36239	8890
803	36274	8842
804	36309	8795
805	36355	8750
806	36394	8703
807	36431	8656
808	36465	8609
809	36513	8564
810	36564	8521
811	36630	8480
812	36672	8435
813	36706	8387
814	36742	8340
815	36778	8293
816	36813	8245
817	36864	8202
818	36899	8154
819	36935	8107
820	36969	8060
821	37004	8013
822	37038	7965
823	37079	7919
824	37116	7873
825	37154	7826
826	37190	7779
827	37226	7733
828	37262	7686
829	37306	7641
830	37341	7594
831	37379	7547
832	37427	7503
833	37475	7459
834	37526	7415
835	37564	7369
836	37599	7322
837	37638	7276
838	37712	7236
839	37797	7199
840	37841	7154
841	37878	7107
842	37913	7061
843	37948	7014
844	37988	6968
845	38043	6925
846	38091	6880
847	38139	6836
848	38173	6789
849	38208	6742
850	38243	6695
851	38285	6650
852	38326	6604
853	38375	6560
854	38419	6515
855	38466	6470
856	38524	6428
857	38561	6382
858	38596	6335
859	38631	6288
860	38673	6243
861	38742	6202
862	38813	6161
863	38894	6122
864	38956	6079
865	39018	6037
866	39056	5991
867	39094	5945
868	39132	5899
869	39175	5853
870	39227	5809
871	39284	5766
872	39355	5725
873	39397	5679
874	39444	5634
875	39480	5588
876	39518	5542
877	39558	5496
878	39596	5450
879	39641	5405
880	39691	5361
881	39741	5316
882	39798	5273
883	39856	5230
884	39908	5185
885	39944	5139
886	39981	5093
887	40030	5048
888	40085	5005
889	40259	4975
890	40348	4936
891	40403	4891
892	40461	4848
893	40522	4804
894	40663	4770
895	40708	4725
896	40756	4679
897	40792	4633
898	40827	4586
899	40860	4540
900	40897	4493
901	40940	4448
902	40985	4402
903	41031	4357
904	41086	4312
905	41128	4267
906	41174	4221
907	41209	4175
908	41245	4129
909	41292	4083
910	41343	4039
911	41409	3995
912	41449	3949
913	41483	3903
914	41519	3856
915	41556	3810
916	41591	3764
917	41650	3720
918	41700	3675
919	41747	3630
920	41784	3584
921	41828	3538
922	41865	3492
923	41903	3446
924	41939	3400
925	41975	3354
926	42009	3308
927	42054	3262
928	42093	3217
929	42131	3171
930	42170	3125
931	42207	3079
932	42243	3033
933	42288	2988
934	42324	2942
935	42361	2896
936	42396	2850
937	42463	2806
938	42552	2764
939	42592	2718
940	42625	2672
941	42662	2626
942	42697	2580
943	42731	2534
