iter	Passed	Remaining
627	9958	5898
628	9974	5883
629	9990	5867
630	10005	5851
631	10021	5835
632	10038	5820
633	10053	5803
634	10072	5789
635	10100	5780
636	10125	5769
637	10147	5757
638	10162	5741
639	10179	5725
640	10196	5710
641	10210	5693
642	10223	5676
643	10237	5659
644	10252	5642
645	10269	5627
646	10285	5611
647	10301	5595
648	10317	5580
649	10332	5563
650	10348	5547
651	10361	5530
652	10377	5514
653	10391	5497
654	10405	5480
655	10425	5466
656	10448	5454
657	10467	5440
658	10485	5425
659	10500	5409
660	10517	5393
661	10533	5378
662	10549	5362
663	10566	5346
664	10582	5331
665	10598	5315
666	10614	5299
667	10629	5282
668	10645	5266
669	10662	5251
670	10679	5236
671	10694	5220
672	10709	5203
673	10724	5187
674	10739	5171
675	10755	5154
676	10767	5137
677	10781	5120
678	10797	5104
679	10813	5088
680	10829	5072
681	10845	5056
682	10860	5040
683	10875	5024
684	10891	5008
685	10906	4992
686	10926	4978
687	10941	4961
688	10956	4945
689	10988	4936
690	11006	4921
691	11022	4905
692	11044	4892
693	11062	4877
694	11081	4863
695	11099	4848
696	11119	4834
697	11141	4820
698	11164	4807
699	11191	4796
700	11213	4782
701	11235	4769
702	11258	4756
703	11278	4742
704	11296	4726
705	11315	4712
706	11334	4697
707	11350	4681
708	11362	4663
709	11375	4646
710	11391	4630
711	11406	4613
712	11421	4597
713	11439	4582
714	11455	4566
715	11470	4549
716	11486	4533
717	11503	4517
718	11519	4502
719	11535	4485
720	11550	4469
721	11566	4453
722	11578	4436
723	11594	4419
724	11608	4403
725	11622	4386
726	11639	4370
727	11654	4354
728	11670	4338
729	11685	4322
730	11702	4306
731	11717	4290
732	11733	4273
733	11749	4258
734	11765	4242
735	11785	4227
736	11801	4211
737	11817	4195
738	11833	4179
739	11849	4163
740	11864	4146
741	11879	4130
742	11897	4115
743	11910	4098
744	11927	4082
745	11946	4067
746	11962	4051
747	11976	4035
748	11994	4019
749	12012	4004
750	12027	3987
751	12041	3971
752	12053	3953
753	12067	3937
754	12082	3920
755	12099	3905
756	12115	3889
757	12132	3873
758	12147	3857
759	12162	3840
760	12178	3824
761	12194	3808
762	12208	3792
763	12225	3776
764	12239	3759
765	12253	3743
766	12266	3726
767	12281	3710
768	12297	3694
769	12313	3678
770	12328	3661
771	12345	3645
772	12361	3630
773	12378	3614
774	12394	3598
775	12410	3582
776	12427	3566
777	12442	3550
778	12461	3535
779	12481	3520
780	12498	3504
781	12517	3489
782	12534	3473
783	12549	3457
784	12571	3443
785	12590	3427
786	12607	3412
787	12626	3396
788	12643	3381
789	12660	3365
790	12678	3349
791	12695	3334
792	12712	3318
793	12729	3302
794	12745	3286
